"","ï..DIST","YEAR","SECTOR","BENTOT","BENM","BENF","ALEXP.Values"
"6642","Baringo","2006","MICRO","1,290","600","690",NA
"6646","Baringo","2006","MICRO","1,329","654","675",NA
"6647","Baringo","2007","MICRO","1,345","84","1,261",NA
"6669","Baringo","2007","MICRO","1,550","780","770",NA
"6670","Baringo","2006","MICRO","1,600","850","750",NA
"6675","Baringo","2006","MICRO","1,660","800","860",NA
"6680","Baringo","2006","MICRO","1,700","800","900",NA
"6688","Baringo","2007","MICRO","1,750","900","850",NA
"6689","Baringo","2007","MICRO","1,750","850","900",NA
"6690","Baringo","2006","MICRO","1,750","890","860",NA
"6692","Baringo","2008","MICRO","1,790","900","890",NA
"6693","Baringo","2007","MICRO","1,790","890","900",NA
"6706","Baringo","2009","MICRO","1,850","900","950",NA
"6709","Baringo","2006","MICRO","1,880","900","980",NA
"6727","Baringo","2006","MICRO","2,000","950","1,050",NA
"6728","Baringo","2006","MICRO","2,000","1,100","900",NA
"6736","Baringo","2006","MICRO","2,060","940","1,120",NA
"6744","Baringo","2007","MICRO","2,180","980","1,200",NA
"6747","Baringo","2007","MICRO","2,230","1,140","1,090",NA
"6748","Baringo","2007","MICRO","2,230","1,140","1,090",NA
"6749","Baringo","2009","MICRO","2,240","1,090","1,150",NA
"6753","Baringo","2006","MICRO","2,280","980","1,300",NA
"6754","Baringo","2006","MICRO","2,300","1,100","1,200",NA
"6757","Baringo","2006","MICRO","2,360","1,200","1,160",NA
"6763","Baringo","2007","MICRO","2,450","1,200","1,250",NA
"6764","Baringo","2006","MICRO","2,450","1,200","1,250",NA
"6765","Baringo","2007","MICRO","2,450","1,200","1,250",NA
"6777","Baringo","2009","MICRO","2,550","1,250","1,300",NA
"6778","Baringo","2007","MICRO","2,550","1,230","1,320",NA
"6781","Baringo","2007","MICRO","2,580","1,300","1,280",NA
"6783","Baringo","2007","MICRO","2,587","1,300","1,287",NA
"6784","Baringo","2006","MICRO","2,600","1,200","1,400",NA
"6786","Baringo","2008","MICRO","2,650","1,300","1,350",NA
"6788","Baringo","2008","MICRO","2,700","1,300","1,400",NA
"6791","Baringo","2006","MICRO","2,700","1,200","1,500",NA
"6792","Baringo","2006","MICRO","2,700","1,300","1,400",NA
"6793","Baringo","2006","MICRO","2,700","1,400","1,300",NA
"6794","Baringo","2007","MICRO","2,760","1,400","1,360",NA
"6795","Baringo","2006","MICRO","2,760","1,400","1,360",NA
"6801","Baringo","2008","MICRO","2,850","1,450","1,400",NA
"6802","Baringo","2006","MICRO","2,850","1,400","1,450",NA
"6807","Baringo","2006","MICRO","2,900","1,400","1,500",NA
"6810","Baringo","2008","MICRO","2,950","1,500","1,450",NA
"6812","Baringo","2009","MICRO","2,965","1,450","1,515",NA
"6825","Baringo","2006","MICRO","3,000","1,500","1,500",NA
"6826","Baringo","2006","MICRO","3,000","1,400","1,600",NA
"6827","Baringo","2007","MICRO","3,000","1,500","1,500",NA
"6831","Baringo","2008","MICRO","3,000","1,400","1,600",NA
"6833","Baringo","2006","MICRO","3,010","1,450","1,560",NA
"6841","Baringo","2007","MICRO","3,050","1,550","1,500",NA
"6846","Baringo","2006","MICRO","3,100","1,500","1,600",NA
"6847","Baringo","2006","MICRO","3,100","1,600","1,500",NA
"6848","Baringo","2006","MICRO","3,100","1,590","1,510",NA
"6849","Baringo","2008","MICRO","3,100","1,600","1,500",NA
"6850","Baringo","2008","MICRO","3,100","1,600","1,500",NA
"6852","Baringo","2006","MICRO","3,180","1,600","1,580",NA
"6853","Baringo","2006","MICRO","3,200","1,600","1,600",NA
"6854","Baringo","2006","MICRO","3,200","1,500","1,700",NA
"6855","Baringo","2006","MICRO","3,200","1,700","1,500",NA
"6867","Baringo","2009","MICRO","3,270","1,600","1,670",NA
"6868","Baringo","2007","MICRO","3,300","1,700","1,600",NA
"6869","Baringo","2008","MICRO","3,300","1,700","1,600",NA
"6870","Baringo","2006","MICRO","3,350","1,600","1,750",NA
"6874","Baringo","2006","MICRO","3,400","1,600","1,800",NA
"6875","Baringo","2006","MICRO","3,400","1,600","1,800",NA
"6879","Baringo","2006","MICRO","3,480","1,700","1,780",NA
"6882","Baringo","2006","MICRO","3,500","1,700","1,800",NA
"6889","Baringo","2008","MICRO","3,550","1,800","1,750",NA
"6890","Baringo","2006","MICRO","3,550","1,750","1,800",NA
"6891","Baringo","2008","MICRO","3,550","1,750","1,800",NA
"6897","Baringo","2006","MICRO","3,900","1,800","2,100",NA
"6900","Baringo","2008","MICRO","3,950","2,000","1,950",NA
"6919","Baringo","2008","MICRO","4,700","2,300","2,400",NA
"6923","Baringo","2008","MICRO","4,900","2,400","2,500",NA
"6927","Baringo","2009","MICRO","5,000","2,450","2,550",NA
"6936","Baringo","2009","MICRO","5,250","2,600","2,650",NA
"6937","Baringo","2008","MICRO","5,250","2,600","2,650",NA
"6951","Baringo","2008","MICRO","6,000","2,950","3,050",NA
